order_id,order_number,order_date,customer_id,discount,last_updated_at
1,CA-2018-100006,2018-09-07,217,0,2024-12-13
2,CA-2018-100090,2018-07-08,247,0.2,2024-12-13
3,CA-2018-100293,2018-03-14,562,0.2,2024-12-13
4,CA-2018-100328,2018-01-28,345,0.2,2024-12-13
5,CA-2018-100363,2018-04-08,394,0.2,2024-12-13
6,CA-2018-100391,2018-05-25,118,0,2024-12-13
7,CA-2018-100678,2018-04-18,439,0.22,2024-12-13
8,CA-2018-100706,2018-12-16,459,0,2024-12-13
9,CA-2018-100762,2018-11-24,564,0,2024-12-13
10,CA-2018-100860,2018-03-26,182,0,2024-12-13
11,CA-2018-100867,2018-10-19,262,0.2,2024-12-13
12,CA-2018-100881,2018-03-28,237,0.2,2024-12-13
13,CA-2018-100895,2018-06-02,722,0,2024-12-13
14,CA-2018-100916,2018-10-21,284,0,2024-12-13
15,CA-2018-100972,2018-11-19,195,0,2024-12-13
16,CA-2018-101147,2018-12-02,489,0.8,2024-12-13
17,CA-2018-101175,2018-12-09,224,0.2,2024-12-13
18,CA-2018-101266,2018-08-27,526,0,2024-12-13
19,CA-2018-101364,2018-12-22,774,0.2,2024-12-13
20,CA-2018-101392,2018-12-07,58,0,2024-12-13
21,CA-2018-101427,2018-12-26,63,0.2,2024-12-13
22,CA-2018-101462,2018-04-20,103,0,2024-12-13
23,CA-2018-101476,2018-09-12,683,0,2024-12-13
24,CA-2018-101560,2018-11-28,177,0,2024-12-13
25,CA-2018-101602,2018-12-15,494,0.25,2024-12-13
26,CA-2018-101770,2018-03-31,415,0.7,2024-12-13
27,CA-2018-101833,2018-11-17,283,0,2024-12-13
28,CA-2018-101931,2018-10-28,765,0.07,2024-12-13
29,CA-2018-102008,2018-09-30,619,0,2024-12-13
30,CA-2018-102085,2018-10-04,351,0,2024-12-13
31,CA-2018-102274,2018-11-21,206,0,2024-12-13
32,CA-2018-102295,2018-11-24,260,0.2,2024-12-13
33,CA-2018-102330,2018-12-29,36,0.1,2024-12-13
34,CA-2018-102645,2018-01-23,338,0,2024-12-13
35,CA-2018-102652,2018-04-06,63,0,2024-12-13
36,CA-2018-102673,2018-11-01,432,0.2,2024-12-13
37,CA-2018-102869,2018-09-09,456,0.25,2024-12-13
38,CA-2018-102988,2018-04-05,308,0,2024-12-13
39,CA-2018-103058,2018-07-23,19,0,2024-12-13
40,CA-2018-103086,2018-10-17,254,0.6,2024-12-13
41,CA-2018-103100,2018-12-20,7,0,2024-12-13
42,CA-2018-103191,2018-09-22,780,0.2,2024-12-13
43,CA-2018-103219,2018-11-09,84,0,2024-12-13
44,CA-2018-103310,2018-05-10,307,0.1,2024-12-13
45,CA-2018-103317,2018-07-05,227,0.37,2024-12-13
46,CA-2018-103331,2018-08-26,416,0,2024-12-13
47,CA-2018-103366,2018-01-15,260,0,2024-12-13
48,CA-2018-103373,2018-05-18,109,0.4,2024-12-13
49,CA-2018-103401,2018-11-21,310,0,2024-12-13
50,CA-2018-103429,2018-05-30,479,0.05,2024-12-13
51,CA-2018-103492,2018-10-10,164,0.5,2024-12-13
52,CA-2018-103527,2018-09-09,131,0.2,2024-12-13
53,CA-2018-103590,2018-11-30,387,0,2024-12-13
54,CA-2018-103660,2018-08-25,547,0.2,2024-12-13
55,CA-2018-103702,2018-09-12,18,0.7,2024-12-13
56,CA-2018-103744,2018-02-23,506,0.5,2024-12-13
57,CA-2018-103800,2018-01-03,231,0.2,2024-12-13
58,CA-2018-103807,2018-12-02,269,0,2024-12-13
59,CA-2018-103849,2018-05-11,593,0.33,2024-12-13
